step,ΔE,ΔS,left,right,E
81,3.3284848018259368,-1.5429734873005077,80,20,-137.4510232847706
82,1.300306233087582,-1.5429734873005077,80,20,-137.4510232847706
83,2.707982532041143,-1.5429734873005077,80,20,-137.4510232847706
84,2.8793678572352803,1.2978859341434115,80,20,-137.4510232847706
85,16.242533875869768,1.2978859341434115,80,20,-137.4510232847706
86,12.216462038205293,1.2978859341434115,80,20,-137.4510232847706
87,6.726533604424844,-1.5429734873005077,80,20,-137.4510232847706
88,5.731240438820123,1.2978859341434115,80,20,-137.4510232847706
89,4.407415381093244,1.2978859341434115,80,20,-137.4510232847706
90,11.327781277563858,1.2978859341434115,80,20,-137.4510232847706
91,8.23193327250874,1.2978859341434115,80,20,-137.4510232847706
92,9.406416710966084,-1.5429734873005077,80,20,-137.4510232847706
93,2.1500045741054805,1.2978859341434115,82,18,-135.30101871066512
94,8.952614902552,1.032810778672141,82,18,-135.30101871066512
95,1.2927719273960179,-1.2978859341434115,82,18,-135.30101871066512
96,0.21765440690521132,-1.2978859341434115,82,18,-135.30101871066512
97,-0.8252192378189136,-1.2978859341434115,80,20,-136.12623794848403
98,6.819154030307772,1.2978859341434115,80,20,-136.12623794848403
99,7.7012291146306495,1.2978859341434115,80,20,-136.12623794848403
100,-0.21628789980340457,-1.5429734873005077,78,22,-136.34252584828744
101,1.3389054265762468,-1.7719168810934915,78,22,-136.34252584828744
102,-1.9744291947627346,-1.7719168810934915,76,24,-138.31695504305017
103,3.1600541685600376,1.7719168810934915,76,24,-138.31695504305017
104,1.521555474440504,-1.987633992426713,76,24,-138.31695504305017
105,7.894189882463877,1.7719168810934915,76,24,-138.31695504305017
106,4.925180903873837,-1.987633992426713,76,24,-138.31695504305017
107,3.779633258264056,-1.987633992426713,76,24,-138.31695504305017
108,2.036897805185191,1.7719168810934915,78,22,-136.28005723786498
109,4.077052383326333,-1.7719168810934915,78,22,-136.28005723786498
110,4.680966470804748,1.5429734873005077,80,20,-131.59909076706023
111,2.450033062147128,1.2978859341434115,80,20,-131.59909076706023
112,3.0263102484241244,-1.5429734873005077,80,20,-131.59909076706023
113,7.687973858557783,1.2978859341434115,80,20,-131.59909076706023
114,5.091088343120532,1.2978859341434115,82,18,-126.5080024239397
115,-2.3504046029052006,1.032810778672141,84,16,-128.8584070268449
116,7.636908783131673,0.7425234539578389,84,16,-128.8584070268449
117,0.08095856395092937,-1.032810778672141,84,16,-128.8584070268449
118,7.158657346891204,-1.032810778672141,84,16,-128.8584070268449
119,13.290129625195206,-1.032810778672141,84,16,-128.8584070268449
120,-2.1800966652484988,-1.032810778672141,82,18,-131.0385036920934
121,6.399971389830313,-1.2978859341434115,82,18,-131.0385036920934
122,5.937736837077566,1.032810778672141,82,18,-131.0385036920934
123,-0.25246667920734467,1.032810778672141,84,16,-131.29097037130074
124,-0.6122977717262472,-1.032810778672141,84,16,-131.29097037130074
125,9.243693902042338,0.7425234539578389,84,16,-131.29097037130074
126,4.4910334571625015,0.7425234539578389,84,16,-131.29097037130074
127,8.29696503788358,0.7425234539578389,84,16,-131.29097037130074
128,1.2887637579192983,-1.032810778672141,84,16,-131.29097037130074
129,-1.3652504466145672,-1.032810778672141,82,18,-132.6562208179153
130,8.772083075539555,1.032810778672141,82,18,-132.6562208179153
131,-0.8448041869345388,-1.2978859341434115,80,20,-133.50102500484985
132,7.287592692233758,-1.5429734873005077,80,20,-133.50102500484985
133,0.660070423825232,-1.5429734873005077,80,20,-133.50102500484985
134,5.363725602627909,1.2978859341434115,80,20,-133.50102500484985
135,-0.2873022887426657,-1.5429734873005077,78,22,-133.78832729359252
136,10.402563256602022,1.5429734873005077,78,22,-133.78832729359252
137,5.493626036298878,1.5429734873005077,78,22,-133.78832729359252
138,8.26061722926498,1.5429734873005077,78,22,-133.78832729359252
139,5.115215640818434,-1.7719168810934915,78,22,-133.78832729359252
140,6.936870986261624,1.5429734873005077,78,22,-133.78832729359252
141,12.441820913994377,1.5429734873005077,78,22,-133.78832729359252
142,6.1264878314134705,-1.7719168810934915,78,22,-133.78832729359252
143,0.9536810704493064,-1.7719168810934915,78,22,-133.78832729359252
144,0.5384527765272367,-1.7719168810934915,78,22,-133.78832729359252
145,15.8987821056445,1.5429734873005077,78,22,-133.78832729359252
146,4.179766780298877,1.5429734873005077,78,22,-133.78832729359252
147,7.021684703678389,1.5429734873005077,78,22,-133.78832729359252
148,7.238942398055585,1.5429734873005077,78,22,-133.78832729359252
149,4.298762997346984,-1.7719168810934915,78,22,-133.78832729359252
150,162.20517920518643,1.5429734873005077,78,22,-133.78832729359252
151,3.907841492817539,-1.7719168810934915,78,22,-133.78832729359252
152,6.92456055523958,1.5429734873005077,78,22,-133.78832729359252
153,15.002973653131875,-1.7719168810934915,78,22,-133.78832729359252
154,1.3637134477512802,-1.7719168810934915,76,24,-132.42461384584124
155,10.769425450114824,-1.987633992426713,76,24,-132.42461384584124
156,3.18075873106514,1.7719168810934915,76,24,-132.42461384584124
157,8.332219020543008,1.7719168810934915,76,24,-132.42461384584124
158,-0.7981593968999618,1.7719168810934915,78,22,-133.2227732427412
159,0.9250877225012744,-1.7719168810934915,78,22,-133.2227732427412
160,3.6771484671489247,1.5429734873005077,80,20,-129.54562477559227
161,-0.6628507073245373,-1.5429734873005077,78,22,-130.2084754829168
162,9.909773623074699,1.5429734873005077,78,22,-130.2084754829168
163,4.892755407323804,1.5429734873005077,78,22,-130.2084754829168
164,7.5875094486422086,1.5429734873005077,78,22,-130.2084754829168
165,-0.8389222422021021,-1.7719168810934915,78,22,-130.2084754829168
166,6.644896777056985,-1.7719168810934915,78,22,-130.2084754829168
167,6.724226662673445,-1.7719168810934915,78,22,-130.2084754829168
168,-0.8819005664719839,-1.7719168810934915,78,22,-130.2084754829168
169,6.500484389557315,1.5429734873005077,78,22,-130.2084754829168
170,15.519982807555579,1.5429734873005077,78,22,-130.2084754829168
171,-2.1716343485115885,-1.7719168810934915,76,24,-132.3801098314284
172,5.302848544471658,-1.987633992426713,76,24,-132.3801098314284
173,13.43938438588063,-1.987633992426713,76,24,-132.3801098314284
174,3.023233665345117,-1.987633992426713,76,24,-132.3801098314284
175,5.891420995709666,1.7719168810934915,76,24,-132.3801098314284
176,-0.525364678551739,-1.987633992426713,76,24,-132.3801098314284
177,-1.3584741791977422,1.7719168810934915,78,22,-133.73858401062614
178,-1.0467828277515991,-1.7719168810934915,76,24,-134.78536683837774
179,5.1989386195291445,-1.987633992426713,76,24,-134.78536683837774
180,1.9941193797026529,-1.987633992426713,76,24,-134.78536683837774
